Time;Rolls estimator
01.01.2013 00:00;nan
01.01.2013 01:00;nan
01.01.2013 02:00;nan
01.01.2013 03:00;nan
01.01.2013 04:00;nan
01.01.2013 05:00;nan
01.01.2013 06:00;nan
01.01.2013 07:00;nan
01.01.2013 08:00;nan
01.01.2013 09:00;0
01.01.2013 10:00;nan
01.01.2013 11:00;0
01.01.2013 12:00;0
01.01.2013 13:00;nan
01.01.2013 14:00;nan
01.01.2013 15:00;0
01.01.2013 16:00;0
01.01.2013 17:00;0
01.01.2013 18:00;0
01.01.2013 19:00;0
01.01.2013 20:00;0
01.01.2013 21:00;0
01.01.2013 22:00;0
01.01.2013 23:00;0
02.01.2013 00:00;nan
02.01.2013 01:00;nan
02.01.2013 02:00;nan
02.01.2013 03:00;nan
02.01.2013 04:00;nan
02.01.2013 05:00;nan
02.01.2013 06:00;0
02.01.2013 07:00;nan
02.01.2013 08:00;0
02.01.2013 09:00;0
02.01.2013 10:00;0
02.01.2013 11:00;0
02.01.2013 12:00;0
02.01.2013 13:00;0
02.01.2013 14:00;0
02.01.2013 15:00;0
02.01.2013 16:00;0
02.01.2013 17:00;0
02.01.2013 18:00;0.00020701319349731683
02.01.2013 19:00;0
02.01.2013 20:00;0
02.01.2013 21:00;0
02.01.2013 22:00;0
02.01.2013 23:00;0
03.01.2013 00:00;nan
03.01.2013 01:00;0
03.01.2013 02:00;nan
03.01.2013 03:00;nan
03.01.2013 04:00;2.5709751012240177e-05
03.01.2013 05:00;nan
03.01.2013 06:00;nan
03.01.2013 07:00;0
03.01.2013 08:00;0
03.01.2013 09:00;0
03.01.2013 10:00;0
03.01.2013 11:00;0
03.01.2013 12:00;0
03.01.2013 13:00;0
03.01.2013 14:00;0
03.01.2013 15:00;0
03.01.2013 16:00;0
03.01.2013 17:00;0
03.01.2013 18:00;0
03.01.2013 19:00;0
03.01.2013 20:00;0
03.01.2013 21:00;0
03.01.2013 22:00;0
03.01.2013 23:00;nan
04.01.2013 00:00;0
04.01.2013 01:00;nan
04.01.2013 02:00;0
04.01.2013 03:00;0
04.01.2013 04:00;0.0002635733446453641
04.01.2013 05:00;nan
04.01.2013 06:00;nan
04.01.2013 07:00;nan
04.01.2013 08:00;nan
04.01.2013 09:00;0
04.01.2013 10:00;0
04.01.2013 11:00;0
04.01.2013 12:00;0
04.01.2013 13:00;0
04.01.2013 14:00;0
04.01.2013 15:00;0
04.01.2013 16:00;0
04.01.2013 17:00;0
04.01.2013 18:00;0
04.01.2013 19:00;0
04.01.2013 20:00;nan
04.01.2013 21:00;0
